sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
41__41A__RDC__1.0__0H,41A.R1.0H,41,41A,RDC,0H,case,52329940.0,66395.0
41__41A__RDC__1.0__48H,41A.R1.48H,41,41A,RDC,48H,case,4863596030.0,73690.0
41__41A__RDC__2.0__0H,41A.R2.0H,41,41A,RDC,0H,case,996259214.0,46360.0
41__41A__RDC__2.0__48H,41A.R2.48H,41,41A,RDC,48H,case,17840105271.0,53986.0
41__41A__SDC__1.0__0H,41A.S1.0H,41,41A,SDC,0H,case,1643236297.0,39486.0
41__41A__SDC__1.0__48H,41A.S1.48H,41,41A,SDC,48H,case,3929625041.0,69865.0
41__41A__SDC__2.0__0H,41A.S2.0H,41,41A,SDC,0H,case,3301154900.0,38976.0
41__41A__SDC__2.0__48H,41A.S2.48H,41,41A,SDC,48H,case,5557204552.0,57126.0
41__41B__No Added Carb__1.0__0H,41B.NC.0H,41,41B,No Added Carb,0H,case,263835860.0,61578.0
41__41B__No Added Carb__1.0__48H,41B.NC.48H,41,41B,No Added Carb,48H,case,1440785245.0,52655.0
41__41B__RDC__1.0__0H,41B.R1.0H,41,41B,RDC,0H,case,159230801.0,53670.0
41__41B__RDC__1.0__48H,41B.R1.48H,41,41B,RDC,48H,case,2140547893.0,48773.0
41__41B__RDC__2.0__0H,41B.R2.0H,41,41B,RDC,0H,case,33.0,9191.0
41__41B__RDC__2.0__48H,41B.R2.48H,41,41B,RDC,48H,case,2587197838.0,43070.0
41__41B__SDC__1.0__0H,41B.S1.0H,41,41B,SDC,0H,case,210329870.0,45908.0
41__41B__SDC__1.0__48H,41B.S1.48H,41,41B,SDC,48H,case,1455042334.0,75446.0
41__41B__SDC__2.0__0H,41B.S2.0H,41,41B,SDC,0H,case,61129591.0,58836.0
41__41B__SDC__2.0__48H,41B.S2.48H,41,41B,SDC,48H,case,3416878237.0,63921.0
50__50A__No Added Carb__1.0__0H,50A.NC.0H,50,50A,No Added Carb,0H,case,121715684.0,53245.0
50__50A__No Added Carb__1.0__48H,50A.NC.48H,50,50A,No Added Carb,48H,case,584768374.0,59011.0
50__50A__RDC__1.0__0H,50A.R1.0H,50,50A,RDC,0H,case,2004834925.0,38611.0
50__50A__RDC__1.0__48H,50A.R1.48H,50,50A,RDC,48H,case,1065125247.0,60563.0
50__50A__RDC__2.0__0H,50A.R2.0H,50,50A,RDC,0H,case,1078184125.0,51718.0
50__50A__RDC__2.0__48H,50A.R2.48H,50,50A,RDC,48H,case,2178216832.0,65997.0
50__50A__SDC__1.0__0H,50A.S1.0H,50,50A,SDC,0H,case,686946484.0,58333.0
50__50A__SDC__1.0__48H,50A.S1.48H,50,50A,SDC,48H,case,1413994523.0,64241.0
