sample_id	customer_label	raw_seq_files	Subgroup1
zr24558_111V3V4	84A.NC.48H	zr24558_111V3V4_R1.fastq.gz;zr24558_111V3V4_R2.fastq.gz	
zr24558_112V3V4	58A.R1.48H	zr24558_112V3V4_R1.fastq.gz;zr24558_112V3V4_R2.fastq.gz	
zr24558_113V3V4	58A.R2.48H	zr24558_113V3V4_R1.fastq.gz;zr24558_113V3V4_R2.fastq.gz	
zr24558_114V3V4	58A.S1.48H	zr24558_114V3V4_R1.fastq.gz;zr24558_114V3V4_R2.fastq.gz	
zr24558_115V3V4	58A.S2.48H	zr24558_115V3V4_R1.fastq.gz;zr24558_115V3V4_R2.fastq.gz	
zr24558_116V3V4	58A.NC.48H	zr24558_116V3V4_R1.fastq.gz;zr24558_116V3V4_R2.fastq.gz	
zr24558_117V3V4	137A.R1.48H	zr24558_117V3V4_R1.fastq.gz;zr24558_117V3V4_R2.fastq.gz	
zr24558_119V3V4	137A.S1.48H	zr24558_119V3V4_R1.fastq.gz;zr24558_119V3V4_R2.fastq.gz	
zr24558_120V3V4	137A.S2.48H	zr24558_120V3V4_R1.fastq.gz;zr24558_120V3V4_R2.fastq.gz	
zr24558_121V3V4	137A.NC.48H	zr24558_121V3V4_R1.fastq.gz;zr24558_121V3V4_R2.fastq.gz	
zr24558_122V3V4	41A.R1.48H	zr24558_122V3V4_R1.fastq.gz;zr24558_122V3V4_R2.fastq.gz	
zr24558_123V3V4	41A.R2.48H	zr24558_123V3V4_R1.fastq.gz;zr24558_123V3V4_R2.fastq.gz	
zr24558_124V3V4	41A.S1.48H	zr24558_124V3V4_R1.fastq.gz;zr24558_124V3V4_R2.fastq.gz	
zr24558_125V3V4	41A.S2.48H	zr24558_125V3V4_R1.fastq.gz;zr24558_125V3V4_R2.fastq.gz	
zr24558_126V3V4	41A.NC.48H	zr24558_126V3V4_R1.fastq.gz;zr24558_126V3V4_R2.fastq.gz	
zr24558_127V3V4	161B.R1.48H	zr24558_127V3V4_R1.fastq.gz;zr24558_127V3V4_R2.fastq.gz	
zr24558_128V3V4	161B.R2.48H	zr24558_128V3V4_R1.fastq.gz;zr24558_128V3V4_R2.fastq.gz	
zr24558_129V3V4	161B.S1.48H	zr24558_129V3V4_R1.fastq.gz;zr24558_129V3V4_R2.fastq.gz	
zr24558_130V3V4	161B.S2.48H	zr24558_130V3V4_R1.fastq.gz;zr24558_130V3V4_R2.fastq.gz	
zr24558_131V3V4	161B.NC.48H	zr24558_131V3V4_R1.fastq.gz;zr24558_131V3V4_R2.fastq.gz	
zr24558_132V3V4	73A.R1.48H	zr24558_132V3V4_R1.fastq.gz;zr24558_132V3V4_R2.fastq.gz	
zr24558_133V3V4	73A.R2.48H	zr24558_133V3V4_R1.fastq.gz;zr24558_133V3V4_R2.fastq.gz	
zr24558_134V3V4	73A.S1.48H	zr24558_134V3V4_R1.fastq.gz;zr24558_134V3V4_R2.fastq.gz	
zr24558_135V3V4	73A.S2.48H	zr24558_135V3V4_R1.fastq.gz;zr24558_135V3V4_R2.fastq.gz	
zr24558_136V3V4	73A.NC.48H	zr24558_136V3V4_R1.fastq.gz;zr24558_136V3V4_R2.fastq.gz	
zr24558_137V3V4	50A.R1.48H	zr24558_137V3V4_R1.fastq.gz;zr24558_137V3V4_R2.fastq.gz	
zr24558_138V3V4	50A.R2.48H	zr24558_138V3V4_R1.fastq.gz;zr24558_138V3V4_R2.fastq.gz	
zr24558_139V3V4	50A.S1.48H	zr24558_139V3V4_R1.fastq.gz;zr24558_139V3V4_R2.fastq.gz	
zr24558_140V3V4	50A.S2.48H	zr24558_140V3V4_R1.fastq.gz;zr24558_140V3V4_R2.fastq.gz	
zr24558_141V3V4	50A.NC.48H	zr24558_141V3V4_R1.fastq.gz;zr24558_141V3V4_R2.fastq.gz	
zr24558_142V3V4	116B.R1.48H	zr24558_142V3V4_R1.fastq.gz;zr24558_142V3V4_R2.fastq.gz	
zr24558_143V3V4	116B.R2.48H	zr24558_143V3V4_R1.fastq.gz;zr24558_143V3V4_R2.fastq.gz	
zr24558_144V3V4	116B.S1.48H	zr24558_144V3V4_R1.fastq.gz;zr24558_144V3V4_R2.fastq.gz	
zr24558_145V3V4	116B.S2.48H	zr24558_145V3V4_R1.fastq.gz;zr24558_145V3V4_R2.fastq.gz	
zr24558_146V3V4	116B.NC.48H	zr24558_146V3V4_R1.fastq.gz;zr24558_146V3V4_R2.fastq.gz	
zr24558_147V3V4	176B.R1.48H	zr24558_147V3V4_R1.fastq.gz;zr24558_147V3V4_R2.fastq.gz	
zr24558_148V3V4	176B.R2.48H	zr24558_148V3V4_R1.fastq.gz;zr24558_148V3V4_R2.fastq.gz	
zr24558_149V3V4	176B.S1.48H	zr24558_149V3V4_R1.fastq.gz;zr24558_149V3V4_R2.fastq.gz	
zr24558_150V3V4	176B.S2.48H	zr24558_150V3V4_R1.fastq.gz;zr24558_150V3V4_R2.fastq.gz	
zr24558_151V3V4	176B.NC.48H	zr24558_151V3V4_R1.fastq.gz;zr24558_151V3V4_R2.fastq.gz	
zr24558_152V3V4	239A.R1.48H	zr24558_152V3V4_R1.fastq.gz;zr24558_152V3V4_R2.fastq.gz	
zr24558_153V3V4	239A.R2.48H	zr24558_153V3V4_R1.fastq.gz;zr24558_153V3V4_R2.fastq.gz	
zr24558_154V3V4	239A.S1.48H	zr24558_154V3V4_R1.fastq.gz;zr24558_154V3V4_R2.fastq.gz	
zr24558_155V3V4	239A.S2.48H	zr24558_155V3V4_R1.fastq.gz;zr24558_155V3V4_R2.fastq.gz	
zr24558_156V3V4	239A.NC.48H	zr24558_156V3V4_R1.fastq.gz;zr24558_156V3V4_R2.fastq.gz	
zr24558_157V3V4	67B.R1.48H	zr24558_157V3V4_R1.fastq.gz;zr24558_157V3V4_R2.fastq.gz	
zr24558_158V3V4	67B.R2.48H	zr24558_158V3V4_R1.fastq.gz;zr24558_158V3V4_R2.fastq.gz	
zr24558_159V3V4	67B.S1.48H	zr24558_159V3V4_R1.fastq.gz;zr24558_159V3V4_R2.fastq.gz	
zr24558_160V3V4	67B.S2.48H	zr24558_160V3V4_R1.fastq.gz;zr24558_160V3V4_R2.fastq.gz	
zr24558_161V3V4	67B.NC.48H	zr24558_161V3V4_R1.fastq.gz;zr24558_161V3V4_R2.fastq.gz	
zr24558_162V3V4	161A.R1.0H	zr24558_162V3V4_R1.fastq.gz;zr24558_162V3V4_R2.fastq.gz	
zr24558_163V3V4	161A.R2.0H	zr24558_163V3V4_R1.fastq.gz;zr24558_163V3V4_R2.fastq.gz	
zr24558_164V3V4	161A.S1.0H	zr24558_164V3V4_R1.fastq.gz;zr24558_164V3V4_R2.fastq.gz	
zr24558_165V3V4	161A.S2.0H	zr24558_165V3V4_R1.fastq.gz;zr24558_165V3V4_R2.fastq.gz	
zr24558_166V3V4	161A.NC.0H	zr24558_166V3V4_R1.fastq.gz;zr24558_166V3V4_R2.fastq.gz	
zr24558_167V3V4	239A.R1.0H	zr24558_167V3V4_R1.fastq.gz;zr24558_167V3V4_R2.fastq.gz	
zr24558_168V3V4	239A.R2.0H	zr24558_168V3V4_R1.fastq.gz;zr24558_168V3V4_R2.fastq.gz	
zr24558_169V3V4	239A.S1.0H	zr24558_169V3V4_R1.fastq.gz;zr24558_169V3V4_R2.fastq.gz	
zr24558_170V3V4	239A.S2.0H	zr24558_170V3V4_R1.fastq.gz;zr24558_170V3V4_R2.fastq.gz	
zr24558_171V3V4	239A.NC.0H	zr24558_171V3V4_R1.fastq.gz;zr24558_171V3V4_R2.fastq.gz	
zr24558_172V3V4	116A.R1.0H	zr24558_172V3V4_R1.fastq.gz;zr24558_172V3V4_R2.fastq.gz	
zr24558_173V3V4	116A.R2.0H	zr24558_173V3V4_R1.fastq.gz;zr24558_173V3V4_R2.fastq.gz	
zr24558_174V3V4	116A.S1.0H	zr24558_174V3V4_R1.fastq.gz;zr24558_174V3V4_R2.fastq.gz	
zr24558_175V3V4	116A.S2.0H	zr24558_175V3V4_R1.fastq.gz;zr24558_175V3V4_R2.fastq.gz	
zr24558_176V3V4	116A.NC.0H	zr24558_176V3V4_R1.fastq.gz;zr24558_176V3V4_R2.fastq.gz	
zr24558_177V3V4	137B.R1.0H	zr24558_177V3V4_R1.fastq.gz;zr24558_177V3V4_R2.fastq.gz	
zr24558_178V3V4	137B.R2.0H	zr24558_178V3V4_R1.fastq.gz;zr24558_178V3V4_R2.fastq.gz	
zr24558_179V3V4	137B.S1.0H	zr24558_179V3V4_R1.fastq.gz;zr24558_179V3V4_R2.fastq.gz	
zr24558_180V3V4	137B.S2.0H	zr24558_180V3V4_R1.fastq.gz;zr24558_180V3V4_R2.fastq.gz	
zr24558_181V3V4	137B.NC.0H	zr24558_181V3V4_R1.fastq.gz;zr24558_181V3V4_R2.fastq.gz	
zr24558_182V3V4	67A.R1.0H	zr24558_182V3V4_R1.fastq.gz;zr24558_182V3V4_R2.fastq.gz	
zr24558_183V3V4	67A.R2.0H	zr24558_183V3V4_R1.fastq.gz;zr24558_183V3V4_R2.fastq.gz	
zr24558_184V3V4	67A.S1.0H	zr24558_184V3V4_R1.fastq.gz;zr24558_184V3V4_R2.fastq.gz	
zr24558_185V3V4	67A.S2.0H	zr24558_185V3V4_R1.fastq.gz;zr24558_185V3V4_R2.fastq.gz	
zr24558_186V3V4	67A.NC.0H	zr24558_186V3V4_R1.fastq.gz;zr24558_186V3V4_R2.fastq.gz	
zr24558_187V3V4	73B.R1.0H	zr24558_187V3V4_R1.fastq.gz;zr24558_187V3V4_R2.fastq.gz	
zr24558_188V3V4	73B.R2.0H	zr24558_188V3V4_R1.fastq.gz;zr24558_188V3V4_R2.fastq.gz	
zr24558_189V3V4	73B.S1.0H	zr24558_189V3V4_R1.fastq.gz;zr24558_189V3V4_R2.fastq.gz	
zr24558_190V3V4	73B.S2.0H	zr24558_190V3V4_R1.fastq.gz;zr24558_190V3V4_R2.fastq.gz	
zr24558_191V3V4	73.NC.0H	zr24558_191V3V4_R1.fastq.gz;zr24558_191V3V4_R2.fastq.gz	
zr24558_192V3V4	MediaControl.MediaControl.48H	zr24558_192V3V4_R1.fastq.gz;zr24558_192V3V4_R2.fastq.gz	
zr24558_193V3V4	58B.R1.0H	zr24558_193V3V4_R1.fastq.gz;zr24558_193V3V4_R2.fastq.gz	
zr24558_194V3V4	58B.R2.0H	zr24558_194V3V4_R1.fastq.gz;zr24558_194V3V4_R2.fastq.gz	
zr24558_195V3V4	58B.S1.0H	zr24558_195V3V4_R1.fastq.gz;zr24558_195V3V4_R2.fastq.gz	
zr24558_196V3V4	58B.S2.0H	zr24558_196V3V4_R1.fastq.gz;zr24558_196V3V4_R2.fastq.gz	
zr24558_197V3V4	58B.NC.0H	zr24558_197V3V4_R1.fastq.gz;zr24558_197V3V4_R2.fastq.gz	
zr24558_198V3V4	67B.R1.0H	zr24558_198V3V4_R1.fastq.gz;zr24558_198V3V4_R2.fastq.gz	
zr24558_199V3V4	67B.R2.0H	zr24558_199V3V4_R1.fastq.gz;zr24558_199V3V4_R2.fastq.gz	
zr24558_200V3V4	67B.S1.0H	zr24558_200V3V4_R1.fastq.gz;zr24558_200V3V4_R2.fastq.gz	
zr24558_201V3V4	67B.S2.0H	zr24558_201V3V4_R1.fastq.gz;zr24558_201V3V4_R2.fastq.gz	
