parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateSDC,Eggerthella,-0.5323811692238344,1.2619711362742632,0.9999678688134166,1,blmm
timepoint48H,Eggerthella,6.007908475333859,1.4174897068001977,3.5148987167897403e-4,1,blmm
obesity_groupobesity,Eggerthella,0.44623253844692096,1.4829547880957454,1,1,blmm
carbohydrateRDC:timepoint48H,Eggerthella,1.5520775263308109,1.7054271367775133,0.6100455033506015,1,blmm
carbohydrateSDC:timepoint48H,Eggerthella,0.6293779790341428,1.7035911644940285,0.9403332261192289,1,blmm
carbohydrateRDC,Erysipelatoclostridium,-0.8830963136786166,1.4409045892094894,0.7816883995828596,1,blmm
carbohydrateSDC,Erysipelatoclostridium,-0.4169675591973981,1.4444235969326882,0.9995495627269416,1,blmm
timepoint48H,Erysipelatoclostridium,0.8500509554164971,1.6215847432352302,0.8805754139279889,1,blmm
obesity_groupobesity,Erysipelatoclostridium,0.49464588487225536,1.2597509498856074,1,1,blmm
carbohydrateRDC:timepoint48H,Erysipelatoclostridium,1.1891533746740979,1.9520116779244703,0.7245357588536694,1,blmm
carbohydrateSDC:timepoint48H,Erysipelatoclostridium,1.0161631095042247,1.949938952325638,0.9164844019317384,1,blmm
carbohydrateRDC,Escherichia,-0.43167919106893526,1.4309169231876213,0.8521205552671736,1,blmm
carbohydrateSDC,Escherichia,0.42319287330811695,1.4344009006088694,0.9995495627269416,1,blmm
timepoint48H,Escherichia,11.960526162262882,1.610486985810647,3.0485638972723344e-10,1,blmm
obesity_groupobesity,Escherichia,-0.2390206345745956,1.3107124572478912,1,1,blmm
carbohydrateRDC:timepoint48H,Escherichia,2.3996224345904,1.9384626154858025,0.5376936448318868,1,blmm
carbohydrateSDC:timepoint48H,Escherichia,1.6859165080813483,1.9363988495565863,0.8790652206290216,1,blmm
carbohydrateRDC,Eubacterium,-1.3854449866770464,1.2989124594361474,0.7063809681738532,1,blmm
carbohydrateSDC,Eubacterium,0.02682127599458531,1.302215026724586,0.9995495627269416,1,blmm
timepoint48H,Eubacterium,-1.8627233220516828,1.4603696569870965,0.938216906497161,1,blmm
obesity_groupobesity,Eubacterium,-1.1642279480260254,0.7702775549025971,0.799785090647124,1,blmm
carbohydrateRDC:timepoint48H,Eubacterium,1.835128737801859,1.7599114609253013,0.5556682418148178,1,blmm
carbohydrateSDC:timepoint48H,Eubacterium,1.2108813471387416,1.7581032113604596,0.8929238384032265,1,blmm
carbohydrateRDC,Faecalibacterium,-0.723541372146517,1.449994823471792,0.7880766389277282,1,blmm
carbohydrateSDC,Faecalibacterium,0.5904029348245146,1.4535439181999126,0.9995495627269416,1,blmm
timepoint48H,Faecalibacterium,0.18124865008915125,1.631709394522286,0.996165963190319,1,blmm
obesity_groupobesity,Faecalibacterium,0.6590657721550446,1.2237488169209672,1,1,blmm
carbohydrateRDC:timepoint48H,Faecalibacterium,3.525639109710291,1.9643401585995865,0.4659540208641689,1,blmm
