feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
o__Clostridiales,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.282850754783833,0,1.3386531271519992,0.09103548626556744,0.6504478923335467,0.17378351277152662,0.7093404816207732,NA,linear,289,128
Romboutsia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.9384512522386612,0,1.146032465608433,0.09203145710676777,0.6504478923335467,0.17559312511634073,0.7093404816207732,NA,linear,289,263
Streptococcus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.7726930713507834,0,1.0470927641375365,0.09174012517181622,0.6504478923335467,0.17506399977709197,0.7093404816207732,NA,linear,289,264
Terrisporobacter,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.5943446126142975,0,1.5259330235438375,0.09152766234069594,0.6504478923335467,0.17467801170783948,0.7093404816207732,NA,linear,289,135
Enterorhabdus,obesity_group,obesity,obesity_groupobesity,0.9529706311913638,0,0.5436412221573835,0.09420024643482901,0.6559128270276983,0.1795268064412755,0.7138995662391346,NA,linear,289,28
Peptococcus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.8174717848163175,0,1.6143168760326974,0.09354835303386244,0.6559128270276983,0.17834541171237678,0.7138995662391346,NA,linear,289,40
Subdoligranulum,timepoint,48H,timepoint48H,1.50662570791827,0,0.9017903726742557,0.095979532883934765,0.663387947874255,0.07759570362210873,0.4516752957710074,NA,linear,289,281
Eubacterium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.8354944121108043,0,1.1061494887804715,0.0983077926431466,0.6664397966311089,0.18695116319192528,0.7336816609722983,NA,linear,289,269
Eubacterium,timepoint,48H,timepoint48H,-1.5185706878010239,0,0.9155246074781461,0.09843015516497401,0.6664397966311089,0.07969674597032439,0.4516752957710074,NA,linear,289,269
Parvimonas,timepoint,48H,timepoint48H,6.341846312386047,0,2.567326524343291,0.09854801248055758,0.6664397966311089,0.1873843141972471,0.7336816609722983,NA,linear,289,13
Sutterella,obesity_group,obesity,obesity_groupobesity,2.461942000151352,0,1.288260668183737,0.1005715483741096,0.6752661105118788,0.1005715483741096,0.522356307371651,NA,linear,289,57
Other,timepoint,48H,timepoint48H,1.8532932682736376,0,1.1203527511962856,0.10149844605560553,0.6766563070373702,0.1596590153912515,0.7066646855143218,NA,linear,289,101
Coprococcus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.0169774025059417,0,1.2442916041696725,0.10648867903241617,0.7049250583836,0.20163751930276308,0.7602481283341215,NA,linear,289,235
f__Prevotellaceae,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,6.83946726331293,0,4.13267899255974,0.1087145250165527,0.7146269476612555,0.20561020208353042,0.768987234496543,NA,linear,289,36
Anaerostipes,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.1124452119849977,0,1.3191304112677638,0.11062617374837896,0.7171627815412153,2.4343462326369256e-4,0.00495632892964878,NA,linear,289,255
Peptoclostridium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,5.182520004346097,0,2.726687344630744,0.11329879879066242,0.7244957201579774,0.21376097977391795,0.7827650266541312,NA,linear,289,13
Akkermansia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.4305888149729395,0,1.5387071538602346,0.11596752386891584,0.7334873762718519,0.048017858589709465,0.3442407045374946,NA,linear,289,195
Streptococcus,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.6626061844728302,0,1.0547885575426759,0.1162655521962829,0.7334873762718519,0.030071625089938995,0.24687834146417656,NA,linear,289,264
Dorea,timepoint,48H,timepoint48H,-1.3554990149610593,0,0.8677204048621507,0.11949979171967644,0.7488653614433056,0.2247193832183073,0.817015471843703,NA,linear,289,270
Marvinbryantia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.425988673722557,0,1.5522886219191352,0.12042211465341707,0.7496476011537221,0.226342743609233,0.8170812517524795,NA,linear,289,148
Succiniclasticum,carbohydrate,SDC,carbohydrateSDC,-1.5294309526150982,0,0.9437207368143592,0.12249205739616141,0.7562629948345764,0.22997981066717854,0.8223576274531329,NA,linear,289,30
Romboutsia,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.7731043139360205,0,1.1512608462305327,0.12482448079655335,0.7603428538299839,0.2340678105869769,0.824378019428919,NA,linear,289,263
Megasphaera,obesity_group,obesity,obesity_groupobesity,-2.31748364943252,0,1.383677458940865,0.12895167641374009,0.7632114098567345,0.24127481797756645,0.824378019428919,NA,linear,289,31
Actinomyces,timepoint,48H,timepoint48H,1.7539439399863572,0,1.1777129709695704,0.1387636063159675,0.7750299084346873,3.1296648284966155e-5,9.719441776458039e-4,NA,linear,289,141
Anaerostipes,timepoint,48H,timepoint48H,-1.5878584901241934,0,1.0750517610934502,0.1409894833429059,0.7750299084346873,8.87593690303287e-7,5.019835426270812e-5,NA,linear,289,255
Eggerthella,obesity_group,obesity,obesity_groupobesity,1.0875062283109893,0,0.6845248862544419,0.13422590755708888,0.7750299084346873,0.25043522085465353,0.8377788498778611,NA,linear,289,212
f__Christensenellaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.9703771978506175,0,1.331852148569576,0.14063781004537587,0.7750299084346873,0.2114951834812281,0.7800800608111963,NA,linear,289,214
Other,obesity_group,obesity,obesity_groupobesity,1.114650575172817,0,0.6985514431232179,0.13788934995242697,0.7750299084346873,0.25676522707455074,0.8377788498778611,NA,linear,289,101
Peptococcus,obesity_group,obesity,obesity_groupobesity,4.735080306796588,0,2.8186501617205786,0.13420404484370277,0.7750299084346873,0.2503973640349948,0.8377788498778611,NA,linear,289,40
Peptoniphilus,carbohydrate,SDC,carbohydrateSDC,-5.501880612731753,0,3.6688282172373383,0.1399195837224824,0.7750299084346873,0.26026167753589213,0.838915484989437,NA,linear,289,67
Peptoniphilus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,5.698350744678494,0,3.8003382751448638,0.14000576443236212,0.7750299084346873,0.2604099147904343,0.838915484989437,NA,linear,289,67
Solobacterium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,5.529964819998747,0,3.6333124105313312,0.13617186693483807,0.7750299084346873,0.2538009565251568,0.8377788498778611,NA,linear,289,51
Blautia,obesity_group,obesity,obesity_groupobesity,0.6190136815532001,0,0.40181196630442095,0.1446344512911783,0.7858750532584254,0.1446344512911783,0.6573119259572299,NA,linear,289,285
f__Defluviitaleaceae,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.3577859569387205,0,1.5669712314997026,0.14730059070706003,0.7903030949075822,0.2729037173914709,0.8627825599519173,NA,linear,289,29
Faecalitalea,obesity_group,obesity,obesity_groupobesity,1.1861616959903831,0,0.8113702096787804,0.1488123912751511,0.7903030949075822,0.2754796547532734,0.865550273268001,NA,linear,289,69
f__Coriobacteriaceae,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,2.7688922148016832,0,1.909076353556924,0.15018513368061615,0.7931125037066246,0.27781469298256767,0.8675317713382021,NA,linear,289,110
Alistipes,timepoint,48H,timepoint48H,2.742222003153625,0,1.9090947842583939,0.15363741346494555,0.797895959431209,3.507279414672589e-6,1.6229138382439526e-4,NA,linear,289,129
Collinsella,obesity_group,obesity,obesity_groupobesity,1.1143470078364626,0,0.7400516695564656,0.15613170286654218,0.8006980492249359,0.28788629709307834,0.8770115394723557,NA,linear,289,237
f__Lachnospiraceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.5891963411886938,0,1.123236422729309,0.15830765893441306,0.8006980492249359,0.29155400299153145,0.8770115394723557,NA,linear,289,281
Finegoldia,carbohydrate,RDC,carbohydrateRDC,3.863365010162646,0,2.6912544839596855,0.15950040709693505,0.8006980492249359,0.29356043432978196,0.8770115394723557,NA,linear,289,45
Holdemanella,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,3.270520510831,0,2.3088500438153576,0.16013960984498718,0.8006980492249359,0.2946345250486696,0.8770115394723557,NA,linear,289,108
Peptoclostridium,carbohydrate,RDC,carbohydrateRDC,-4.464726440336137,0,2.704915191112815,0.15801458465881946,0.8006980492249359,0.2910605603527394,0.8770115394723557,NA,linear,289,13
Actinomyces,obesity_group,obesity,obesity_groupobesity,0.6696289215450367,0,0.4876539246444683,0.17199467295962062,0.8203467285084257,0.31440717839275456,0.900983315964842,NA,linear,289,141
Holdemania,carbohydrate,RDC,carbohydrateRDC,0.9465292955822278,0,0.6777694940854939,0.1676269146708052,0.8203467285084257,0.1676269146708052,0.7093404816207732,NA,linear,289,75
Holdemania,carbohydrate,SDC,carbohydrateSDC,0.9457996516333317,0,0.6837064293391606,0.17157274256571164,0.8203467285084257,0.17157274256571164,0.7093404816207732,NA,linear,289,75
Lachnospira,carbohydrate,RDC,carbohydrateRDC,2.098432871235914,0,1.4905677843161178,0.17454185712945228,0.8203467285084257,0.3186188543687064,0.900983315964842,NA,linear,289,27
Ruminococcus,carbohydrate,RDC,carbohydrateRDC,1.501696777752552,0,1.088459159095751,0.1698186195342873,0.8203467285084257,0.31079887552804375,0.8988444752487175,NA,linear,289,163
Streptococcus,obesity_group,obesity,obesity_groupobesity,0.9566135283191668,0,0.6556389141956969,0.16711834682091534,0.8203467285084257,0.30630815179767434,0.8923285564544978,NA,linear,289,264
Tyzzerella,obesity_group,obesity,obesity_groupobesity,1.700637607569865,0,1.1977984167455558,0.17034065748864388,0.8203467285084257,0.17034065748864388,0.7093404816207732,NA,linear,289,26
Peptoclostridium,carbohydrate,SDC,carbohydrateSDC,-4.183089304647122,0,2.6796233261486453,0.17871417911948562,0.8285791876764491,0.32548960042061925,0.9102978385389846,NA,linear,289,13
Senegalimassilia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,2.3734363700427465,0,1.742016217335656,0.17727953009916866,0.8285791876764491,0.32313102840615526,0.908694438998525,NA,linear,289,84
Negativicoccus,carbohydrate,RDC,carbohydrateRDC,0.9328561120747556,0,0.7039756630092301,0.19151935728531244,0.845571382532665,0.19151935728531244,0.7388323064155701,NA,linear,289,59
Other,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.956909308139747,0,1.4869785561121216,0.19141325478226007,0.845571382532665,0.3461874754581816,0.9351153347637489,NA,linear,289,101
Paenibacillus,carbohydrate,SDC,carbohydrateSDC,0.8748185230352977,0,0.6649561299817301,0.19052749177171271,0.845571382532665,0.3447542584226053,0.9351153347637489,NA,linear,289,155
Solobacterium,carbohydrate,SDC,carbohydrateSDC,-3.701352181821001,0,2.769876323420759,0.1896793701640051,0.845571382532665,0.34338047686219664,0.9351153347637489,NA,linear,289,51
Finegoldia,obesity_group,obesity,obesity_groupobesity,1.429392680484648,0,1.0218853676699378,0.1962156631939857,0.8495443267134605,0.353930739905316,0.9351153347637489,NA,linear,289,45
Odoribacter,obesity_group,obesity,obesity_groupobesity,3.305817164739886,0,2.402466316566675,0.19743030129784678,0.8495443267134605,0.19743030129784678,0.7555791230120602,NA,linear,289,54
Peptoclostridium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,4.042760738329214,0,2.704440276397083,0.1935589271835902,0.8495443267134605,0.34965279607471833,0.9351153347637489,NA,linear,289,13
Enterococcus,carbohydrate,SDC,carbohydrateSDC,-5.342092990312005,0,4.079532629294661,0.19890483885351284,0.8498661296468275,0.35824654278768375,0.9351153347637489,NA,linear,289,47
f__Defluviitaleaceae,carbohydrate,SDC,carbohydrateSDC,1.3701598792491234,0,1.049364809438963,0.20821496443614163,0.8529226117095119,0.3730764574571398,0.9380649629902746,NA,linear,289,29
f__Family.XIII,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.469266831370882,0,1.162115647681269,0.20785608837665454,0.8529226117095119,0.3725080232780652,0.9380649629902746,NA,linear,289,190
Finegoldia,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-3.604622385405836,0,2.8008365452067188,0.20611025333249278,0.8529226117095119,0.3697390701362012,0.9380649629902746,NA,linear,289,45
Paenibacillus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.5252506017130323,0,1.2086860741891403,0.20915809206650876,0.8529226117095119,0.3745690766561156,0.9380649629902746,NA,linear,289,155
Paeniclostridium,carbohydrate,RDC,carbohydrateRDC,-2.024513525846368,0,1.4565687510979057,0.2013531328846007,0.8529226117095119,0.2013531328846007,0.7602481283341215,NA,linear,289,17
