#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	234	86	882	303	0	0	41	0	0	0	1517	546	468	0	683	399	16	0	169	59	104	19	19	0	0	375	12	31	53	101	118	199	321	0	0	30	55	0	0	1101	145	0	0	447	284	163	13	82	35	46	0	0	21	0	41	318	221	50	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__salyersiae	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	33	0	0	0	0	0	0	0	0	0	0	40	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	148	80	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__sp12288-thetaiotaomicron	29	217	127	11	0	0	251	0	0	0	4777	823	0	0	3206	890	12	0	152	215	21	46	37	38	0	886	40	0	0	328	70	194	19	0	0	24	65	19	0	2803	127	0	0	1811	689	0	0	134	209	48	23	48	23	55	95	750	123	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__sp12293-thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	1223	322	0	0	782	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	444	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	17	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	30	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__stercoris	1465	1619	716	1189	290	0	0	0	39	0	0	0	0	0	0	0	0	0	129	151	102	414	255	98	0	17	0	0	0	459	743	420	2090	351	22	0	0	0	0	0	0	0	0	0	0	0	0	90	66	112	0	345	73	60	0	0	11	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	1753	4665	216	1564	561	612	58	0	0	0	0	0	301	0	0	0	61	0	398	243	224	943	263	327	0	225	13	0	12	3315	2102	442	1435	1027	1012	23	39	13	0	0	0	0	0	0	0	156	40	340	292	185	0	1029	296	311	359	253	31	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__vulgatus	7865	2091	868	13234	522	718	971	40	546	0	6823	3311	3786	0	6319	3015	966	0	613	625	507	1536	1541	805	15	2021	47	360	1093	1670	939	369	11067	1172	735	306	444	447	0	2282	464	0	0	3898	1883	1375	181	377	183	542	100	855	849	535	308	1653	394	662	0
