#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae;g__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	12	28	28	336	31	11	0	0	0	0	56	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	45	20	13	241	28	15	0	0	0	0	0	293	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Anaerococcus	0	199	79	0	33	0	0	0	160	0	12	0	0	0	20	0	43	0	13	0	0	34	0	145	0	0	0	0	11	34	166	36	0	0	0	0	0	110	0	0	0	0	0	0	0	40	0	0	0	0	0	42	0	159	0	0	0	38	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Finegoldia	0	129	78	0	0	0	0	0	36	0	0	0	0	0	0	0	205	18	19	0	0	0	0	44	0	0	0	125	377	0	313	19	0	0	0	0	0	25	0	0	0	0	0	14	0	288	25	0	0	0	0	0	0	86	22	0	0	423	58
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Peptoniphilus	0	177	66	0	503	0	0	0	120	0	49	0	0	0	746	0	864	0	15	0	0	748	12	289	0	12	0	291	950	14	471	27	0	17	0	0	0	16	0	57	0	0	0	80	0	756	0	0	0	0	0	385	0	43	53	0	0	1742	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII;g__Mogibacterium	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII;g__NA	0	19	0	0	47	0	0	0	96	15	0	0	0	0	0	0	0	0	0	0	0	153	0	17	0	11	0	0	27	0	0	0	0	179	0	0	0	68	15	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	64	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	0	34	17	0	110	88	20	20	0	0	153	16	338	81	457	779	21	1450	909	3930	99	580	2735	0	0	83	0	0	0	44	64	0	0	114	256	14	11	0	0	106	0	538	4121	325	603	25	589	699	849	80	21	338	137	0	0	133	428	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	5628	11141	9519	5010	2255	2338	2809	4867	2898	0	2230	1349	9319	3584	3071	6021	2001	629	15232	10077	7652	4206	2227	902	11	5652	957	817	2503	8289	4978	15191	8093	3088	5789	2399	3393	6842	557	5769	3907	8013	20273	2957	3957	4170	3394	15231	15033	11415	949	8333	7510	712	3676	6919	2431	5650	0
